递,遞
逦,邐
遗,遺
遥,遙
邓,鄧
邮,郵
邹,鄒
邻,鄰
郑,鄭
酝,醖
酱,醬
酿,釀
采,採
释,釋
鉴,鑒
銮,鑾
针,針
钉,釘
钊,釗
钏,釧
钓,釣
钗,釵
钙,鈣
钚,鈈
钝,鈍
钞,鈔
钟,鐘
钠,鈉
钢,鋼
钤,鈐
钥,鑰
钦,欽
钧,鈞
钨,鎢
钩,鈎
钮,鈕
钱,錢
钳,鉗
钴,鈷
钵,鉢
钹,鈸
钻,鑽
钾,鉀
铀,鈾
铁,鐵
铂,鉑
铃,鈴
铄,鑠
铅,鉛
铎,鐸
铐,銬
铙,鐃
铛,鐺
铜,銅
铝,鋁
铢,銖
铨,銓
铬,鉻
铭,銘
铮,錚
铰,鉸
铲,鏟
银,銀
铸,鑄
铺,鋪
链,鏈
铿,鏗
销,銷
锁,鎖
锄,鋤
锅,鍋
锈,鏽
锉,銼
锋,鋒
锌,鋅
锐,銳
锑,銻
错,錯
锚,錨
锡,錫
锣,鑼
锤,錘
锥,錐
锦,錦
锭,錠
键,鍵
锯,鋸
锰,錳
锲,鍥
锵,鏘
锹,鍬
锺,鍾
锻,鍛
锾,鍰
镀,鍍
镁,鎂
镂,鏤
镇,鎮
镍,鎳
镑,鎊
镕,鎔
镖,鏢
镗,鏜
镘,鏝
镙,鏍
镜,鏡
镝,鏑
镞,鏃
镭,鐳
镯,鐲
镰,鐮
镳,鑣
镶,鑲
长,長
门,門
闩,閂
闪,閃
闭,閉
问,問
闯,闖
闰,閏
闱,闈
闲,閒
间,間
闵,閔
闷,悶
闸,閘
闹,鬧
闺,閨
闻,聞
闽,閩
闾,閭
阀,閥
阁,閣
阂,閡
阅,閱
阎,閻
阐,闡
阑,闌
阔,闊
阕,闋
阖,闔
阗,闐
队,隊
阳,陽
阴,陰
阵,陣
阶,階
际,際
陆,陸
陇,隴
陈,陳
陕,陝
陨,隕
险,險
随,隨
隐,隱
隶,隸
隽,雋
难,難
雏,雛
雳,靂
雾,霧
霁,霽
霭,靄
静,靜
靥,靨
鞑,韃
韦,韋
韧,韌
韩,韓
韬,韜
韵,韻
页,頁
顶,頂
顷,頃
项,項
顺,順
须,須
顼,頊
顽,頑
顾,顧
